@relation traffic 
@attribute srcIP {10.0.2.15,91.144.166.4,213.180.204.8,217.69.128.52,94.100.182.110,217.73.200.169,94.100.189.180,94.100.179.174,94.100.182.66,94.100.188.21,77.88.21.90,93.158.134.90,91.192.149.129,91.192.149.52,217.69.130.42,88.212.196.77,94.100.182.16,94.100.178.215}
@attribute dstIP {91.144.166.4,10.0.2.15,213.180.204.8,217.69.128.52,94.100.182.110,217.73.200.169,94.100.189.180,94.100.179.174,94.100.182.66,94.100.188.21,77.88.21.90,93.158.134.90,91.192.149.129,91.192.149.52,217.69.130.42,88.212.196.77,94.100.182.16,94.100.178.215}
@attribute length {65,156,98,86,151,74,60,54,1120,1514,642,886,1210,1438,1494,82,539,1174,90,1194,1250,662,326,183,78,187,573,70,492,75,114,556,1098,1097,283,244,552,553,554,551,341,76,110,558,1095,560,564,1151,567,566,547,546,792,238,113,511,543,72,304,738,444,918,1115,369,80,276,587,569,850,1299,544,77,209,575,574,510,251,214,400,104,1118,307,647,317,115,96,489,467,471,468,629,291,1187,278,266,1145,97,1110,373,665,463}
@attribute protocol {UDP,ICMP,TCP}
@attribute srcCountry {@@,RU,DE}
@attribute dstCountry {RU,@@,DE}
@data
91.144.166.4,10.0.2.15,151,UDP,RU,@@
10.0.2.15,213.180.204.8,98,ICMP,@@,RU
213.180.204.8,10.0.2.15,98,ICMP,RU,@@
10.0.2.15,91.144.166.4,86,UDP,@@,RU
91.144.166.4,10.0.2.15,151,UDP,RU,@@
10.0.2.15,213.180.204.8,98,ICMP,@@,RU
213.180.204.8,10.0.2.15,98,ICMP,RU,@@
10.0.2.15,91.144.166.4,86,UDP,@@,RU
91.144.166.4,10.0.2.15,151,UDP,RU,@@
10.0.2.15,217.69.128.52,74,TCP,@@,DE
217.69.128.52,10.0.2.15,60,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
10.0.2.15,217.69.128.52,1120,TCP,@@,DE
217.69.128.52,10.0.2.15,60,TCP,DE,@@
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,886,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,642,TCP,DE,@@
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,1210,TCP,DE,@@
217.69.128.52,10.0.2.15,1438,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1494,TCP,DE,@@
217.69.128.52,10.0.2.15,1494,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,886,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
10.0.2.15,91.144.166.4,82,UDP,@@,RU
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,642,TCP,DE,@@
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,642,TCP,DE,@@
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,642,TCP,DE,@@
91.144.166.4,10.0.2.15,98,UDP,RU,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
10.0.2.15,94.100.182.110,74,TCP,@@,@@
94.100.182.110,10.0.2.15,60,TCP,@@,@@
10.0.2.15,94.100.182.110,54,TCP,@@,@@
10.0.2.15,94.100.182.110,539,TCP,@@,@@
94.100.182.110,10.0.2.15,60,TCP,@@,@@
10.0.2.15,213.180.204.8,98,ICMP,@@,RU
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,642,TCP,DE,@@
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,642,TCP,DE,@@
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,1210,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,74,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1174,TCP,DE,@@
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,642,TCP,DE,@@
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,642,TCP,DE,@@
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,642,TCP,DE,@@
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,90,TCP,DE,@@
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1194,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
213.180.204.8,10.0.2.15,98,ICMP,RU,@@
10.0.2.15,91.144.166.4,86,UDP,@@,RU
91.144.166.4,10.0.2.15,151,UDP,RU,@@
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,642,TCP,DE,@@
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,642,TCP,DE,@@
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,642,TCP,DE,@@
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1210,TCP,DE,@@
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,1250,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,642,TCP,DE,@@
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,642,TCP,DE,@@
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,1210,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,662,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
94.100.182.110,10.0.2.15,326,TCP,@@,@@
10.0.2.15,94.100.182.110,54,TCP,@@,@@
10.0.2.15,94.100.182.110,54,TCP,@@,@@
94.100.182.110,10.0.2.15,60,TCP,@@,@@
94.100.182.110,10.0.2.15,60,TCP,@@,@@
10.0.2.15,94.100.182.110,54,TCP,@@,@@
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,642,TCP,DE,@@
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
217.69.128.52,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,1514,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,642,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,183,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,60,TCP,DE,@@
10.0.2.15,217.69.128.52,54,TCP,@@,DE
10.0.2.15,217.69.128.52,54,TCP,@@,DE
217.69.128.52,10.0.2.15,60,TCP,DE,@@
10.0.2.15,91.144.166.4,78,UDP,@@,RU
91.144.166.4,10.0.2.15,187,UDP,RU,@@
10.0.2.15,217.73.200.169,74,TCP,@@,RU
217.73.200.169,10.0.2.15,60,TCP,RU,@@
10.0.2.15,217.73.200.169,54,TCP,@@,RU
10.0.2.15,217.73.200.169,573,TCP,@@,RU
217.73.200.169,10.0.2.15,60,TCP,RU,@@
10.0.2.15,91.144.166.4,70,UDP,@@,RU
217.73.200.169,10.0.2.15,492,TCP,RU,@@
10.0.2.15,217.73.200.169,54,TCP,@@,RU
10.0.2.15,217.73.200.169,54,TCP,@@,RU
217.73.200.169,10.0.2.15,60,TCP,RU,@@
217.73.200.169,10.0.2.15,60,TCP,RU,@@
10.0.2.15,217.73.200.169,54,TCP,@@,RU
10.0.2.15,91.144.166.4,75,UDP,@@,RU
91.144.166.4,10.0.2.15,114,UDP,RU,@@
10.0.2.15,94.100.189.180,74,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
10.0.2.15,94.100.189.180,556,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
91.144.166.4,10.0.2.15,86,UDP,RU,@@
10.0.2.15,94.100.179.174,74,TCP,@@,@@
10.0.2.15,94.100.179.174,74,TCP,@@,@@
94.100.179.174,10.0.2.15,60,TCP,@@,@@
10.0.2.15,94.100.179.174,54,TCP,@@,@@
94.100.179.174,10.0.2.15,60,TCP,@@,@@
10.0.2.15,94.100.179.174,54,TCP,@@,@@
10.0.2.15,94.100.179.174,1098,TCP,@@,@@
10.0.2.15,94.100.179.174,1097,TCP,@@,@@
94.100.179.174,10.0.2.15,60,TCP,@@,@@
94.100.179.174,10.0.2.15,60,TCP,@@,@@
94.100.189.180,10.0.2.15,283,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
94.100.179.174,10.0.2.15,244,TCP,@@,@@
10.0.2.15,94.100.179.174,54,TCP,@@,@@
94.100.179.174,10.0.2.15,244,TCP,@@,@@
10.0.2.15,94.100.179.174,54,TCP,@@,@@
10.0.2.15,213.180.204.8,98,ICMP,@@,RU
10.0.2.15,94.100.189.180,552,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
10.0.2.15,94.100.189.180,74,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
10.0.2.15,94.100.189.180,556,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
10.0.2.15,94.100.189.180,74,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
10.0.2.15,94.100.189.180,553,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
10.0.2.15,94.100.189.180,74,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
10.0.2.15,94.100.189.180,554,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
10.0.2.15,94.100.189.180,74,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
10.0.2.15,94.100.189.180,554,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
10.0.2.15,94.100.189.180,74,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
10.0.2.15,94.100.189.180,551,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
10.0.2.15,91.144.166.4,74,UDP,@@,RU
213.180.204.8,10.0.2.15,98,ICMP,RU,@@
10.0.2.15,91.144.166.4,86,UDP,@@,RU
91.144.166.4,10.0.2.15,341,UDP,RU,@@
10.0.2.15,94.100.182.66,74,TCP,@@,@@
10.0.2.15,91.144.166.4,76,UDP,@@,RU
94.100.182.66,10.0.2.15,60,TCP,@@,@@
10.0.2.15,94.100.182.66,54,TCP,@@,@@
94.100.189.180,10.0.2.15,283,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
94.100.189.180,10.0.2.15,283,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
94.100.189.180,10.0.2.15,283,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
91.144.166.4,10.0.2.15,151,UDP,RU,@@
91.144.166.4,10.0.2.15,110,UDP,RU,@@
10.0.2.15,94.100.189.180,558,TCP,@@,@@
10.0.2.15,94.100.182.66,1095,TCP,@@,@@
10.0.2.15,94.100.189.180,560,TCP,@@,@@
10.0.2.15,94.100.189.180,564,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
94.100.182.66,10.0.2.15,60,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
10.0.2.15,94.100.188.21,74,TCP,@@,@@
94.100.188.21,10.0.2.15,60,TCP,@@,@@
10.0.2.15,94.100.188.21,54,TCP,@@,@@
10.0.2.15,94.100.188.21,1151,TCP,@@,@@
94.100.188.21,10.0.2.15,60,TCP,@@,@@
94.100.189.180,10.0.2.15,283,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
10.0.2.15,94.100.189.180,567,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
94.100.189.180,10.0.2.15,283,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
10.0.2.15,94.100.189.180,566,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
94.100.189.180,10.0.2.15,283,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
10.0.2.15,94.100.189.180,567,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
94.100.189.180,10.0.2.15,283,TCP,@@,@@
10.0.2.15,94.100.189.180,547,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
94.100.189.180,10.0.2.15,283,TCP,@@,@@
10.0.2.15,94.100.189.180,546,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
94.100.189.180,10.0.2.15,283,TCP,@@,@@
94.100.189.180,10.0.2.15,283,TCP,@@,@@
94.100.189.180,10.0.2.15,283,TCP,@@,@@
10.0.2.15,91.144.166.4,74,UDP,@@,RU
94.100.189.180,10.0.2.15,283,TCP,@@,@@
94.100.189.180,10.0.2.15,283,TCP,@@,@@
94.100.182.66,10.0.2.15,792,TCP,@@,@@
10.0.2.15,94.100.182.66,54,TCP,@@,@@
94.100.189.180,10.0.2.15,283,TCP,@@,@@
94.100.188.21,10.0.2.15,238,TCP,@@,@@
10.0.2.15,94.100.188.21,54,TCP,@@,@@
10.0.2.15,94.100.188.21,54,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
94.100.188.21,10.0.2.15,60,TCP,@@,@@
94.100.188.21,10.0.2.15,60,TCP,@@,@@
10.0.2.15,94.100.188.21,54,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
91.144.166.4,10.0.2.15,113,UDP,RU,@@
10.0.2.15,94.100.189.180,74,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
10.0.2.15,94.100.189.180,511,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
94.100.189.180,10.0.2.15,283,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
10.0.2.15,94.100.189.180,543,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
94.100.189.180,10.0.2.15,283,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
10.0.2.15,91.144.166.4,72,UDP,@@,RU
91.144.166.4,10.0.2.15,304,UDP,RU,@@
10.0.2.15,77.88.21.90,74,TCP,@@,RU
77.88.21.90,10.0.2.15,60,TCP,RU,@@
10.0.2.15,77.88.21.90,54,TCP,@@,RU
10.0.2.15,77.88.21.90,738,TCP,@@,RU
77.88.21.90,10.0.2.15,60,TCP,RU,@@
10.0.2.15,213.180.204.8,98,ICMP,@@,RU
77.88.21.90,10.0.2.15,1514,TCP,RU,@@
10.0.2.15,77.88.21.90,54,TCP,@@,RU
77.88.21.90,10.0.2.15,642,TCP,RU,@@
10.0.2.15,77.88.21.90,54,TCP,@@,RU
77.88.21.90,10.0.2.15,444,TCP,RU,@@
10.0.2.15,77.88.21.90,54,TCP,@@,RU
213.180.204.8,10.0.2.15,98,ICMP,RU,@@
10.0.2.15,91.144.166.4,86,UDP,@@,RU
10.0.2.15,91.144.166.4,72,UDP,@@,RU
10.0.2.15,77.88.21.90,918,TCP,@@,RU
77.88.21.90,10.0.2.15,60,TCP,RU,@@
91.144.166.4,10.0.2.15,151,UDP,RU,@@
91.144.166.4,10.0.2.15,304,UDP,RU,@@
10.0.2.15,93.158.134.90,74,TCP,@@,@@
93.158.134.90,10.0.2.15,60,TCP,@@,@@
10.0.2.15,93.158.134.90,54,TCP,@@,@@
10.0.2.15,93.158.134.90,1115,TCP,@@,@@
93.158.134.90,10.0.2.15,60,TCP,@@,@@
77.88.21.90,10.0.2.15,369,TCP,RU,@@
10.0.2.15,77.88.21.90,54,TCP,@@,RU
94.100.189.180,10.0.2.15,60,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
93.158.134.90,10.0.2.15,369,TCP,@@,@@
10.0.2.15,93.158.134.90,54,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
10.0.2.15,94.100.189.180,54,TCP,@@,@@
10.0.2.15,91.144.166.4,80,UDP,@@,RU
91.144.166.4,10.0.2.15,276,UDP,RU,@@
10.0.2.15,91.192.149.129,74,TCP,@@,RU
91.192.149.129,10.0.2.15,60,TCP,RU,@@
10.0.2.15,91.192.149.129,54,TCP,@@,RU
10.0.2.15,91.192.149.129,587,TCP,@@,RU
91.192.149.129,10.0.2.15,60,TCP,RU,@@
94.100.189.180,10.0.2.15,60,TCP,@@,@@
91.192.149.129,10.0.2.15,569,TCP,RU,@@
10.0.2.15,91.192.149.129,54,TCP,@@,RU
10.0.2.15,94.100.189.180,54,TCP,@@,@@
10.0.2.15,91.192.149.129,850,TCP,@@,RU
91.192.149.129,10.0.2.15,60,TCP,RU,@@
91.192.149.129,10.0.2.15,1514,TCP,RU,@@
10.0.2.15,91.192.149.129,54,TCP,@@,RU
91.192.149.129,10.0.2.15,642,TCP,RU,@@
10.0.2.15,91.192.149.129,54,TCP,@@,RU
94.100.189.180,10.0.2.15,60,TCP,@@,@@
91.192.149.129,10.0.2.15,1299,TCP,RU,@@
10.0.2.15,91.192.149.129,54,TCP,@@,RU
10.0.2.15,94.100.189.180,54,TCP,@@,@@
10.0.2.15,91.192.149.129,544,TCP,@@,RU
91.192.149.129,10.0.2.15,60,TCP,RU,@@
91.192.149.129,10.0.2.15,1514,TCP,RU,@@
91.192.149.129,10.0.2.15,642,TCP,RU,@@
10.0.2.15,91.192.149.129,54,TCP,@@,RU
10.0.2.15,91.144.166.4,77,UDP,@@,RU
94.100.179.174,10.0.2.15,60,TCP,@@,@@
94.100.179.174,10.0.2.15,60,TCP,@@,@@
91.144.166.4,10.0.2.15,209,UDP,RU,@@
10.0.2.15,91.192.149.52,74,TCP,@@,RU
10.0.2.15,91.192.149.52,74,TCP,@@,RU
10.0.2.15,91.192.149.52,74,TCP,@@,RU
91.192.149.52,10.0.2.15,60,TCP,RU,@@
10.0.2.15,91.192.149.52,54,TCP,@@,RU
91.192.149.52,10.0.2.15,60,TCP,RU,@@
10.0.2.15,91.192.149.52,54,TCP,@@,RU
91.192.149.52,10.0.2.15,60,TCP,RU,@@
10.0.2.15,91.192.149.52,54,TCP,@@,RU
10.0.2.15,91.192.149.52,575,TCP,@@,RU
10.0.2.15,91.192.149.52,574,TCP,@@,RU
10.0.2.15,91.192.149.52,574,TCP,@@,RU
91.192.149.52,10.0.2.15,60,TCP,RU,@@
91.192.149.52,10.0.2.15,60,TCP,RU,@@
91.192.149.52,10.0.2.15,60,TCP,RU,@@
91.192.149.129,10.0.2.15,510,TCP,RU,@@
10.0.2.15,94.100.179.174,54,TCP,@@,@@
10.0.2.15,94.100.179.174,54,TCP,@@,@@
10.0.2.15,213.180.204.8,98,ICMP,@@,RU
10.0.2.15,91.192.149.129,54,TCP,@@,RU
213.180.204.8,10.0.2.15,98,ICMP,RU,@@
10.0.2.15,91.144.166.4,86,UDP,@@,RU
91.144.166.4,10.0.2.15,151,UDP,RU,@@
91.192.149.52,10.0.2.15,1514,TCP,RU,@@
10.0.2.15,91.192.149.52,54,TCP,@@,RU
91.192.149.52,10.0.2.15,642,TCP,RU,@@
10.0.2.15,91.192.149.52,54,TCP,@@,RU
91.192.149.52,10.0.2.15,1514,TCP,RU,@@
10.0.2.15,91.192.149.52,54,TCP,@@,RU
91.192.149.52,10.0.2.15,642,TCP,RU,@@
10.0.2.15,91.192.149.52,54,TCP,@@,RU
91.192.149.52,10.0.2.15,1514,TCP,RU,@@
10.0.2.15,91.192.149.52,54,TCP,@@,RU
91.192.149.52,10.0.2.15,642,TCP,RU,@@
10.0.2.15,91.192.149.52,54,TCP,@@,RU
91.192.149.52,10.0.2.15,251,TCP,RU,@@
10.0.2.15,91.192.149.52,54,TCP,@@,RU
91.192.149.52,10.0.2.15,214,TCP,RU,@@
10.0.2.15,91.192.149.52,54,TCP,@@,RU
